ID,YEAR,TRANS,SITE,TREAT,PLOT,GROUP,YST,WATER,TREE,VEG,Agrocani,Andropoli,Betunana,Betupube,Calastri,Carecane,Carechor,Caredioi,Careechi,Carelasi,Carelimo,Carelivi,Caremage,Carepauc,Carerost,Cirspalu,Drosera,Dryocart,Empenigr,Erioangu,Eriovagi,Hammpalu,Ledupalu,Lycoannu,Melaprat,Menytrif,Piceabie,Pinusylv,Potepalu,Rubucham,Salix spp,Schepalu,Triccesp,Trieeuro,Utriinte,Vaccmyrt,Vaccoxyc2,Vacculig,Vaccviti,Violpalu,Spharecu,Sphabalti,Sphacapi,Sphacusp,Sphafusc,Sphamage,Sphamaju,Sphaobtu,Sphapapi,Sphapulc,Spharube,Spharuss,Sphasubf,Sphasubn,Sphasubs,Sphatene,Sphatere,Sphawarn,Sphasp,Aulapalu,Brachoedi,Bryumsp,Callstra,Cladonia spp,Dicranum spp,Hepatics 2,Limbinte,Limbrevo,Mylianom,Pleuschr,Pohlnuta,Polycomm,Polystri,Warnsdorfia sp,O_SEDGE,SEDGE,HERB,GRASS,D_SHRUB,E_SHRUB,Fs_MOSS,Br_MOSS,Ho_MOSS,La_MOSS,Hu_MOSS,D_SHRUB1,E_SHRUB1,TREE
olid_39,2001,F2,oli,wldd,olid_39,oli_l,0,-5.909090909,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.3,,,,,0.25,0.025,,97.5,,,,,,,,,,,0.025,,,,,,,,,,,,,,,0,0,0,0,0,0,0.025,0,0.025,98.05,0,0,0,0
olid_40,2001,F2,oli,wldd,olid_40,oli_l,0,-5.909090909,0,21,,15,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,3.25,,,,,,,,88.25,,,,,,,,,,,,,,,,,0.075,,,,,,,,,1,5,0,0,0,19,0,0.075,0,91.5,0,0,19,0
ombc_01,2001,T1,omb,ctr,ombc_1,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,26.25,,,31.75,,,,,,,,,,,,,,,,,,,,,,,,0.05,3.5,,,5.5,,0,0,0,0,0,0,9,0.05,0,34.25,31.75,0,0,0
ombc_02,2001,T1,omb,ctr,ombc_2,omb_hu,0,-1.704225352,0,35,,10,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,20,,,,,,,0.3,,,,1,50.25,,,27.5,,,,,,,,,,,,,,,,,,,5.5,,,,,0.025,,,,0.3,,2,0,20,0,0,13.3,5.8,0.025,0,51.25,27.5,0,13.3,0
ombc_03,2001,T1,omb,ctr,ombc_3,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,0,0,0,0,0,0,6.25,0,0,42.5,0,0,0,0
ombc_04,2001,T1,omb,ctr,ombc_4,omb_hu,0,-1.704225352,0,47,,1,,,,,,,,,,,,,,,,,30,,2,,,,,,,,,10,,,,,,,4,4,,,11.25,25,,,53.75,,,,,,,,,,,,,,,,,,,,,,,,0.275,,,,3.5,,2,0,10,0,4,35,3.5,0.275,0,36.25,53.75,4,35,0
ombc_05,2001,T1,omb,ctr,ombc_5,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,10,,,88,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,na,,,0,0,0,0,0,0,0,0,0,10.025,88,0,0,0
ombc_06,2001,T2,omb,ctr,ombc_6,min_hl,0,-1.704225352,0,44,,7,,,,,,,,,,,,,,,,,15,,7,,,,,,,,,12,,,,,,,4,3,,,35,,,,56.25,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,7.75,,7,0,12,0,3,26,10.25,0,0,35,56.25,3,26,0
ombc_07,2001,T2,omb,ctr,ombc_7,min_hl,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,94.75,,,,1.875,,,,,,,,,,,,,,,0.025,,,,,,,,,,0.025,,,2.5,,0,0,0,0,0,0,2.55,0,0,94.75,1.875,0,0,0
ombc_08,2001,T2,omb,ctr,ombc_8,omb_hu,0,-1.704225352,0,47.5,,5,,,,,,,,,,,,,,,,,20,,0.5,,,,,,,,,15,,,,,,,1,7,,,,6.5,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,0.5,0,15,0,7,26,3.75,0,0,6.5,90,7,26,0
ombc_09,2001,T2,omb,ctr,ombc_9,omb_ll,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,43.75,,,17.5,38.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,82.5,17.5,0,0,0
ombc_10,2001,T2,omb,ctr,ombc_10,omb_ll,0,-1.704225352,0,36.1,,3,,,,,,,,,,,,,,,,,18,,0.1,,,,,,,,,15,,,,,,,1,,,,,42,,,36.5,21.75,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,15,0,0,22,0,0,0,63.75,37,0,22,0
ombc_11,2001,T3,omb,ctr,ombc_11,omb_ho,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,6,,87.25,,,,,,,,,,,,,,,,,,,,,,6.85,,,,,,,,,0,0,0,0,0,0,0,6.85,87.25,6,0,0,0,0
ombc_12,2001,T3,omb,ctr,ombc_12,omb_ho,0,-1.704225352,0,22,,4,,,,,,,,,,,,,,,,,10,,5,,,,,,,,,3,,,,,,,2.1,,,,,4.75,,91.25,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,5,0,3,0,0,16.1,0,0.2,91.25,4.75,0,0,16.1,0
ombc_13,2001,T3,omb,ctr,ombc_13,omb_ho,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,3.25,,56.75,,35,,,,,,,,,,,,,,,,,,,,5.875,,,,,,,,,0,0,0,0,0,0,0,5.875,56.75,38.25,0,0,0,0
ombc_14,2001,T3,omb,ctr,ombc_14,omb_ho,0,-1.704225352,0,7,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,14.5,,83.25,,1.75,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,1,0,6,0,0,0,0,0.05,83.25,16.25,0,0,0,0
ombc_15,2001,T3,omb,ctr,ombc_15,omb_ho,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,100,0,0,0,0,0
ombc_16,2001,T4,omb,ctr,ombc_16,omb_ho,0,-1.704225352,0,2.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.1,,,,,7.25,,89.25,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0,0,1,0,0,1.6,0,0.5,89.25,7.25,0,0,1.6,0
ombc_17,2001,T4,omb,ctr,ombc_17,omb_hl,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,67.75,,,5.25,3.5,,,,,19.5,,,,,,,,,,,,,,,,,,0.05,,,,,,0,0,0,0,0,0,0,0.05,0,71.25,24.75,0,0,0
ombc_18,2001,T4,omb,ctr,ombc_18,omb_hu,0,-1.704225352,0,5,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0.5,,,,,45.25,,,38.75,,,,,,0.25,,,,,,,,,,,,,,,,,,1.25,,,,3.775,,3,0,0,0,0,2.5,3.775,1.25,0,45.25,39,0,2.5,0
ombc_19,2001,T4,omb,ctr,ombc_19,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,31,,,65.5,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,31,65.75,0,0,0
ombc_20,2001,T4,omb,ctr,ombc_20,omb_hu,0,-1.704225352,0,39,,2,,,,,,,,,,,,,,,,,12,,20,,,,,,,,,,,,,,,,3.1,5,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,5,17.1,0,0,0,0,100,5,17.1,0
ombc_21,2001,U1,omb,ctr,ombc_21,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,2.75,,,97,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2.75,97.3,0,0,0
ombc_22,2001,U1,omb,ctr,ombc_22,omb_hu,0,-1.704225352,0,12,,2,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,6,,,,,,,1.1,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,0,0,6.1,0,0,0,0,100,0,6.1,0
ombc_23,2001,U1,omb,ctr,ombc_23,omb_hl,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,15.5,,,19.5,,,,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,15.5,84,0,0,0
ombc_24,2001,U1,omb,ctr,ombc_24,omb_hl,0,-1.704225352,0,13,,5,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,1,,,,,,,2.1,,,,,32,,,50.75,3.5,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,11.1,0,0,0,35.5,57.75,0,11.1,0
ombc_25,2001,U1,omb,ctr,ombc_25,omb_ho,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,47,,22.25,,6.5,,,,,0.5,,,,,,,,,,,,,,,20,,,,,,,,,0,0,0,0,0,0,0,20,22.25,53.5,0.5,0,0,0
ombc_26,2001,U2,omb,ctr,ombc_26,omb_ho,0,-1.704225352,0,13,,4,,,,,,,,,,,,,,,,,,,6,,,,,,,,,3,,,,,,,1,,,,,16.25,,47.5,,,,,,,,,,,,,,,,,,,,,,5.25,,,,,,,,,6,0,3,0,0,5,0,5.25,47.5,16.25,0,0,5,0
ombc_27,2001,U2,omb,ctr,ombc_27,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,44,,,50.75,,,,,,2.25,,,,,,,,,,,,,,,,,,17,,,,,,0,0,0,0,0,0,0,17,0,44,53,0,0,0
ombc_28,2001,U2,omb,ctr,ombc_28,omb_hl,0,-1.704225352,0,7,,3,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,1,,,,,41.25,,,58.75,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,4,0,1,0,0,4,0,8,0,41.25,58.75,0,4,0
ombc_29,2001,U2,omb,ctr,ombc_29,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,7.25,,,92,,,,,,0.5,,,,,,,,,,,,,,,,,,8.5,,,,,,0,0,0,0,0,0,0,8.5,0,7.25,92.5,0,0,0
ombc_30,2001,U2,omb,ctr,ombc_30,omb_ll,0,-1.704225352,0,34,,10,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,20,,,,,,,3.1,,,,,61.75,,,,,,,,,,,,,,,,,,,,,,,,31.25,,,,,,,,,3,0,20,0,0,14.1,0,31.25,0,61.75,0,0,14.1,0
ombc_31,2001,U3,omb,ctr,ombc_31,omb_ll,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,76.25,,,2.25,11.525,,,,,3.525,,,,,,,,,,,,,,,0.05,,,,,,,,,0,0,0,0,0,0,0,0.05,0,87.775,5.775,0,0,0
ombc_32,2001,U3,omb,ctr,ombc_32,omb_ho,0,-1.704225352,0,11,,7,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,92.75,,3.75,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,4,0,0,0,0,8,0,0.05,3.75,92.75,0,0,8,0
ombc_33,2001,U3,omb,ctr,ombc_33,omb_ll,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,64.75,,0.275,,27.5,,,,,4,,,,,,,,,,,,,,,0.1,,,,,,,,,0,0,0,0,0,0,0,0.1,0.275,92.25,4,0,0,0
ombc_34,2001,U3,omb,ctr,ombc_34,omb_hu,0,-1.704225352,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,94.5,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,0,0,0,0,0,0,0,0.025,0,1.5,94.5,0,0,0
ombc_35,2001,U3,omb,ctr,ombc_35,omb_hl,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,46.25,,,28.75,,,,,,22.5,,,,,,,,,,,,,,,0.1,,,0.025,,,,,,0,0,0,0,0,0,0,0.125,0,46.25,51.25,0,0,0
ombc_36,2001,U4,omb,ctr,ombc_36,omb_hu,0,-1.704225352,0,21,,7,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,1,7,,,,3.25,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,0.775,0.5,,,,,2,0,5,0,7,8,0.5,0.775,0,3.25,84.5,7,8,0
ombc_37,2001,U4,omb,ctr,ombc_37,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,36.5,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.025,,,,,0,0,0,0,0,0,0.025,0.05,0,36.5,60.5,0,0,0
ombc_38,2001,U4,omb,ctr,ombc_38,omb_hu,0,-1.704225352,0,31.1,,2,,,,,,,,,,,,,,,,,20,,4,,,,,,,,,0.1,,,,,,,6,5,,,,49.25,,,38.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.1,0,5,28,0,0,0,49.25,38.75,5,28,0
ombc_39,2001,U4,omb,ctr,ombc_39,omb_hu,0,-1.704225352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,32.5,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,32.5,65,0,0,0
ombc_40,2001,U4,omb,ctr,ombc_40,omb_hu,0,-1.704225352,0,40.1,,5,,,,,,,,,,,,0.1,,,,,20,,2,,,,,,,,,10,,,,,,,5,3,,,,19.25,,,77.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.1,10,0,3,30,0,0,0,19.25,77.75,3,30,0
ombf_01,2001,Z1,omb,fst,ombf_1,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,3,8.75,,,,,56.25,,,,,0,0,0,0,0,0,68,0,0,0,0,0,0,0
ombf_02,2001,Z1,omb,fst,ombf_2,,40,-17.5,0,24.2,,,,,,,,,,,,,,,,,,,0.2,,3,,5,,,,,,,15,,,,,,,,1,,,51.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,9.75,,3,0,15,0,1,5.2,11.75,0,0,51.25,0,1,5.2,0
ombf_03,2001,Z1,omb,fst,ombf_3,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,0,0,0,0,0,0,23,0,0,0.75,0,0,0,0
ombf_04,2001,Z1,omb,fst,ombf_4,,40,-17.5,0,72,,,,,,,,,,,,,,,,,,,7,,5,,,,,,,,,20,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.25,,,,,5,0,20,0,40,7,86.25,0,0,0,0,40,7,0
ombf_05,2001,Z1,omb,fst,ombf_5,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,9,11,,,,,80.5,,,,,0,0,0,0,0,0,100.5,0,0,0,0,0,0,0
ombf_06,2001,Z2,omb,fst,ombf_6,,40,-17.5,0,64,,2,,,,,,,,,,,,,,,,,25,,2,,,,,,,,,5,,,,,,,,30,,,0.5,,,,95.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5,0,30,27,0,0,0,0.5,95.25,30,27,0
ombf_07,2001,Z2,omb,fst,ombf_7,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,24.75,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,71,,,0.25,,0,0,0,0,0,0,71.75,0,0,24.75,0,0,0,0
ombf_08,2001,Z2,omb,fst,ombf_8,,40,-17.5,0,56,,2,,,,,,,,,,,,,,,,,30,,1,,,,,,,0.1,,15,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,10.025,,,,,61.25,,,,,1,0,15,0,8,34.1,71.275,0,0,0,0,8,34,0.1
ombf_09,2001,Z2,omb,fst,ombf_9,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,0.25,,,,0.05,18.75,,,,,66.25,,,0.275,,0,0,0,0,0,0,85.575,0,0,0,0,0,0,0
ombf_10,2001,Z2,omb,fst,ombf_10,,40,-17.5,0,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,19,0.25,,,,,,,,,,,,,,,,,,,,,,6.275,2.5,,,,,57.5,,,0.55,,0,0,0,0,1,3,66.825,0,0,19.25,0,1,3,0
ombf_11,2001,AA1,omb,fst,ombf_11,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75,,,,,0,0,0,0,0,0,98.75,0,0,0,0,0,0,0
ombf_12,2001,AA1,omb,fst,ombf_12,,40,-17.5,0,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,16,,,,16.75,58.25,,,,,,,,,,,,,,0.05,,,,0.05,0.525,,,,,0.05,,,,,4,0,0,0,0,2,0.675,0,0,74.25,16.75,0,2,0
ombf_13,2001,AA1,omb,fst,ombf_13,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,67.5,,,,,,,,,,,,,,,,,,,0.25,,,0.025,,6.25,,,,0.025,2.775,,,,,0,0,0,0,0,0,9.275,0.05,0,67.5,0,0,0,0
ombf_14,2001,AA1,omb,fst,ombf_14,,40,-17.5,0,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0.5,,,,,,,,,1,1,,,26,,,,25.5,,,,,,,,,,,,,,,,,,,0.025,,,,,0.025,39.75,,,,,4,0,0,0,1,1.5,39.775,0.025,0,26,25.5,1,1,0.5
ombf_15,2001,AA1,omb,fst,ombf_15,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,0.025,,,,,0.05,,,,,97.75,,,,,0,0,0,0,0,0,97.825,0,0,0,0,0,0,0
ombf_16,2001,AA2,omb,fst,ombf_16,,40,-17.5,0,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,28.75,,,,34.75,,,,,,,,,,,,,,,8.5,,,,,3.8,,,,,2.25,,,,,4,0,0,0,0,2,14.55,0,0,28.75,34.75,0,2,0
ombf_17,2001,AA2,omb,fst,ombf_17,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.5,,,,6,,,,,,0.025,,,,,,,,,72,,,,,,,,,,1.75,,,,,0,0,0,0,0,0,73.75,0,0,9.5,6.025,0,0,0
ombf_18,2001,AA2,omb,fst,ombf_18,,40,-17.5,0,7,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,24.25,,,,,0.5,,,,,65.25,,,,,2,0,4,0,0,2,90,0,0,0,0,0,2,0
ombf_19,2001,AA2,omb,fst,ombf_19,,40,-17.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,0.05,,,,,31.25,,,,,55,,,,,0,0,0,0,0,0,86.3,0,0,0,0,0,0,0
ombf_20,2001,AA2,omb,fst,ombf_20,,40,-17.5,0,13,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,0.5,,,,,87.25,,,2.75,,5,0,3,0,0,8,90.5,0,0,0.025,0,0,8,0
ombd_01,2001,V1,omb,wldd,ombd_1,omb_hl,1,-14.30666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,38.75,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,38.75,57.5,0,0,0
ombd_02,2001,V1,omb,wldd,ombd_2,omb_hu,1,-14.30666667,0,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25,,,76.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375,,0,0,0,0,0,1.5,1.375,0,0,23.25,76.75,0,1.5,0
ombd_03,2001,V1,omb,wldd,ombd_3,omb_hl,1,-14.30666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,22.75,,,72,0.25,,,,,1.025,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,23,73.025,0,0,0
ombd_04,2001,V1,omb,wldd,ombd_4,omb_hl,1,-14.30666667,0,50.2,,35,,,,,,,,,,,,0.1,,,,,15,,0.1,,,,,,,,,,,,,,,,0.2,,,,,12.25,,,82,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0,0,50.2,0,0,0,12.25,89.5,0,50.2,0
ombd_05,2001,V1,omb,wldd,ombd_5,omb_hu,1,-14.30666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,3.25,,,96.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.25,96.75,0,0,0
ombd_06,2001,V2,omb,wldd,ombd_6,omb_hl,1,-14.30666667,0,24.1,,20,,,,,,,,,,,,,,,,,1,,0.1,,,,,,,,,3,,,,,,,2.1,,,,,13.75,,,3.275,0.75,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,3,0,0,23.1,0,0,0,14.5,84.275,0,23.1,0
ombd_07,2001,V2,omb,wldd,ombd_7,omb_hl,1,-14.30666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,51,,,23.5,,,,,,23.5,,,,,,,,,,,,,,,,,,1.025,,,,,,0,0,0,0,0,0,0,1.025,0,51,47,0,0,0
ombd_08,2001,V2,omb,wldd,ombd_8,omb_hu,1,-14.30666667,0,32,,10,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,12,,,,,,,1.5,3,,,,76.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,2,0,12,0,3,16.5,0,0.05,0,76.25,0,3,16.5,0
ombd_09,2001,V2,omb,wldd,ombd_9,omb_hu,1,-14.30666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13.25,0,0,0,0
ombd_10,2001,V2,omb,wldd,ombd_10,omb_ll,1,-14.30666667,0,14,,4,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,3,,,,,43,,45.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,7,0,0,45.75,43,0,0,7,0
ombd_11,2001,W1,omb,wldd,ombd_11,omb_hu,1,-14.30666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,31.5,,,67.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,31.5,67.75,0,0,0
